id,name,category,city,rating,avg_cost_inr,best_months,activities,description,lat,lon,user_score
11,Mountain Spot 11,mountain,Kausani,4.5,111,"5,6",mountain-climbing;photography,"Mountain Spot 11 in Kausani: a mountain destination great for mountain-climbing and photography. Best months: May, Jun.",30.788,79.388,5.0
12,River Spot 12,river,Dehradun,4.2,107,"5,9",kayaking;rafting,"River Spot 12 in Dehradun: a river destination great for kayaking and rafting. Best months: May, Sep.",29.223,79.486,5.0
13,Beach Spot 13,beach,Mussoorie,4.5,166,"3,4,6",river-side relax;photography,"Beach Spot 13 in Mussoorie: a beach destination great for river-side relax and photography. Best months: Mar, Apr, Jun.",30.083,79.623,5.0
14,Forest Spot 14,forest,Kausani,4.5,144,"4,5,9,10",hiking;trekking,"Forest Spot 14 in Kausani: a forest destination great for hiking and trekking. Best months: Apr, May, Sep, Oct.",29.174,78.683,5.0
15,River Spot 15,river,Kausani,3.5,59,"3,4",rafting;fishing,"River Spot 15 in Kausani: a river destination great for rafting and fishing. Best months: Mar, Apr.",31.079,77.748,5.0
16,Forest Spot 16,forest,Haridwar,4.3,58,"9,10",wildlife;trekking,"Forest Spot 16 in Haridwar: a forest destination great for wildlife and trekking. Best months: Sep, Oct.",30.922,78.166,5.0
17,Beach Spot 17,beach,Chopta,3.9,96,"3,5",sunbathing;photography,"Beach Spot 17 in Chopta: a beach destination great for sunbathing and photography. Best months: Mar, May.",29.708,78.688,5.0
18,Beach Spot 18,beach,Rishikesh,3.4,116,"4,6",photography;sunbathing,"Beach Spot 18 in Rishikesh: a beach destination great for photography and sunbathing. Best months: Apr, Jun.",31.123,77.764,5.0
19,River Spot 19,river,Mussoorie,3.1,199,"3,4,6,9",fishing;kayaking,"River Spot 19 in Mussoorie: a river destination great for fishing and kayaking. Best months: Mar, Apr, Jun, Sep.",29.141,78.904,5.0
20,Beach Spot 20,beach,Nainital,3.8,197,"4,6",photography;picnic,"Beach Spot 20 in Nainital: a beach destination great for photography and picnic. Best months: Apr, Jun.",31.372,80.984,5.0
21,River Spot 21,river,Chopta,4.4,47,"3,5,9",swimming;rafting,"River Spot 21 in Chopta: a river destination great for swimming and rafting. Best months: Mar, May, Sep.",28.65,79.169,5.0
22,River Spot 22,river,Nainital,3.1,111,"3,5,6,9",fishing;rafting,"River Spot 22 in Nainital: a river destination great for fishing and rafting. Best months: Mar, May, Jun, Sep.",31.325,79.494,5.0
23,River Spot 23,river,Bageshwar,3.1,34,"3,4,5,9",swimming;rafting,"River Spot 23 in Bageshwar: a river destination great for swimming and rafting. Best months: Mar, Apr, May, Sep.",29.297,77.958,5.0
24,Mountain Spot 24,mountain,Almora,3.6,155,"4,9",hiking;scenic drives,"Mountain Spot 24 in Almora: a mountain destination great for hiking and scenic drives. Best months: Apr, Sep.",29.139,78.428,5.0
25,Mountain Spot 25,mountain,Mussoorie,4.8,86,"6,10",hiking;scenic drives,"Mountain Spot 25 in Mussoorie: a mountain destination great for hiking and scenic drives. Best months: Jun, Oct.",30.951,78.548,5.0
26,Beach Spot 26,beach,Nainital,3.5,180,"4,5,6",river-side relax;picnic,"Beach Spot 26 in Nainital: a beach destination great for river-side relax and picnic. Best months: Apr, May, Jun.",29.529,79.906,5.0
27,Mountain Spot 27,mountain,Kausani,4.0,182,"4,5,9,10",hiking;mountain-climbing,"Mountain Spot 27 in Kausani: a mountain destination great for hiking and mountain-climbing. Best months: Apr, May, Sep, Oct.",30.813,79.73,5.0
28,Mountain Spot 28,mountain,Nainital,4.5,119,"4,9,10",mountain-climbing;scenic drives,"Mountain Spot 28 in Nainital: a mountain destination great for mountain-climbing and scenic drives. Best months: Apr, Sep, Oct.",28.608,78.792,5.0
29,River Spot 29,river,Nainital,3.9,27,"3,5,9",kayaking;swimming,"River Spot 29 in Nainital: a river destination great for kayaking and swimming. Best months: Mar, May, Sep.",28.808,80.23,5.0
30,City Spot 30,city,Bageshwar,4.5,186,"1,3,6,7,8,11,12",heritage walk;shopping,"City Spot 30 in Bageshwar: a city destination great for heritage walk and shopping. Best months: Jan, Mar, Jun, Jul, Aug, Nov, Dec.",31.092,80.338,5.0
31,Mountain Spot 31,mountain,Nainital,4.6,39,"4,5,9,10",scenic drives;mountain-climbing,"Mountain Spot 31 in Nainital: a mountain destination great for scenic drives and mountain-climbing. Best months: Apr, May, Sep, Oct.",30.962,80.55,5.0
32,Forest Spot 32,forest,Dehradun,4.3,91,"3,4,5",trekking;birdwatching,"Forest Spot 32 in Dehradun: a forest destination great for trekking and birdwatching. Best months: Mar, Apr, May.",31.443,79.377,5.0
33,Beach Spot 33,beach,Mussoorie,4.8,67,"3,5,6",photography;river-side relax,"Beach Spot 33 in Mussoorie: a beach destination great for photography and river-side relax. Best months: Mar, May, Jun.",30.686,78.598,5.0
34,River Spot 34,river,Kausani,3.2,181,"3,6",rafting;swimming,"River Spot 34 in Kausani: a river destination great for rafting and swimming. Best months: Mar, Jun.",31.277,79.385,5.0
35,Forest Spot 35,forest,Auli,3.9,190,"3,5,9,10",birdwatching;trekking,"Forest Spot 35 in Auli: a forest destination great for birdwatching and trekking. Best months: Mar, May, Sep, Oct.",29.428,78.929,5.0
36,City Spot 36,city,Valley of Flowers,3.6,42,"1,3,5,7,9,10,11,12",shopping;museums,"City Spot 36 in Valley of Flowers: a city destination great for shopping and museums. Best months: Jan, Mar, May, Jul, Sep, Oct, Nov, Dec.",29.79,79.53,5.0
37,Mountain Spot 37,mountain,Almora,3.9,141,"4,5,10",scenic drives;hiking,"Mountain Spot 37 in Almora: a mountain destination great for scenic drives and hiking. Best months: Apr, May, Oct.",30.955,80.129,5.0
38,Mountain Spot 38,mountain,Rishikesh,4.6,46,"4,9",photography;mountain-climbing,"Mountain Spot 38 in Rishikesh: a mountain destination great for photography and mountain-climbing. Best months: Apr, Sep.",31.158,79.515,5.0
39,City Spot 39,city,Almora,3.8,46,"1,2,3,4,5,6,7,8,11,12",food-tour;heritage walk,"City Spot 39 in Almora: a city destination great for food-tour and heritage walk. Best months: Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Nov, Dec.",30.503,80.958,5.0
40,River Spot 40,river,Auli,4.9,180,"4,5,6,9",kayaking;swimming,"River Spot 40 in Auli: a river destination great for kayaking and swimming. Best months: Apr, May, Jun, Sep.",31.084,79.075,5.0
41,Forest Spot 41,forest,Mukteshwar,4.3,157,"4,5,10",hiking;birdwatching,"Forest Spot 41 in Mukteshwar: a forest destination great for hiking and birdwatching. Best months: Apr, May, Oct.",29.357,78.451,5.0
42,Mountain Spot 42,mountain,Kausani,3.2,47,"4,5,10",photography;mountain-climbing,"Mountain Spot 42 in Kausani: a mountain destination great for photography and mountain-climbing. Best months: Apr, May, Oct.",29.493,79.131,5.0
43,Beach Spot 43,beach,Rishikesh,4.7,90,"3,4,5",photography;sunbathing,"Beach Spot 43 in Rishikesh: a beach destination great for photography and sunbathing. Best months: Mar, Apr, May.",31.328,78.545,5.0
44,City Spot 44,city,Mukteshwar,4.8,170,"2,3,4,5,8,9,10,11,12",museums;food-tour,"City Spot 44 in Mukteshwar: a city destination great for museums and food-tour. Best months: Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec.",29.508,79.877,5.0
45,City Spot 45,city,Valley of Flowers,3.3,104,"1,7,8,9,10,12",heritage walk;museums,"City Spot 45 in Valley of Flowers: a city destination great for heritage walk and museums. Best months: Jan, Jul, Aug, Sep, Oct, Dec.",31.101,78.136,5.0
46,Mountain Spot 46,mountain,Jim Corbett,3.7,101,"5,6,9",scenic drives;hiking,"Mountain Spot 46 in Jim Corbett: a mountain destination great for scenic drives and hiking. Best months: May, Jun, Sep.",29.911,80.122,5.0
47,Beach Spot 47,beach,Auli,3.4,32,"3,5,6",river-side relax;sunbathing,"Beach Spot 47 in Auli: a beach destination great for river-side relax and sunbathing. Best months: Mar, May, Jun.",30.364,78.335,5.0
48,City Spot 48,city,Chopta,3.2,190,"1,2,3,5,6,8,10,12",museums;food-tour,"City Spot 48 in Chopta: a city destination great for museums and food-tour. Best months: Jan, Feb, Mar, May, Jun, Aug, Oct, Dec.",30.227,80.678,5.0
49,City Spot 49,city,Jim Corbett,4.9,55,"1,2,3,4,5,7,9,10,11",heritage walk;shopping,"City Spot 49 in Jim Corbett: a city destination great for heritage walk and shopping. Best months: Jan, Feb, Mar, Apr, May, Jul, Sep, Oct, Nov.",29.612,79.271,5.0
50,Mountain Spot 50,mountain,Dehradun,4.7,168,"6,9",mountain-climbing;photography,"Mountain Spot 50 in Dehradun: a mountain destination great for mountain-climbing and photography. Best months: Jun, Sep.",29.028,79.326,5.0
51,Mountain Spot 51,mountain,Bageshwar,4.6,116,"5,6,9",mountain-climbing;hiking,"Mountain Spot 51 in Bageshwar: a mountain destination great for mountain-climbing and hiking. Best months: May, Jun, Sep.",29.337,79.078,5.0
52,City Spot 52,city,Bageshwar,4.2,88,"3,4,6,7,8,12",shopping;food-tour,"City Spot 52 in Bageshwar: a city destination great for shopping and food-tour. Best months: Mar, Apr, Jun, Jul, Aug, Dec.",29.339,79.587,5.0
53,Mountain Spot 53,mountain,Kausani,3.0,190,"9,10",mountain-climbing;scenic drives,"Mountain Spot 53 in Kausani: a mountain destination great for mountain-climbing and scenic drives. Best months: Sep, Oct.",29.928,79.991,5.0
54,City Spot 54,city,Lansdowne,3.0,72,"3,4,5,6,7,8,10,11",heritage walk;shopping,"City Spot 54 in Lansdowne: a city destination great for heritage walk and shopping. Best months: Mar, Apr, May, Jun, Jul, Aug, Oct, Nov.",30.151,78.731,5.0
55,City Spot 55,city,Haridwar,3.6,61,"2,3,4,5,6,8,9,10,11,12",shopping;museums,"City Spot 55 in Haridwar: a city destination great for shopping and museums. Best months: Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec.",30.998,78.537,5.0
56,Mountain Spot 56,mountain,Nainital,3.6,147,"4,10",scenic drives;photography,"Mountain Spot 56 in Nainital: a mountain destination great for scenic drives and photography. Best months: Apr, Oct.",31.332,79.733,5.0
57,City Spot 57,city,Mussoorie,4.7,123,"1,3,4,5,6,7,8,9",museums;food-tour,"City Spot 57 in Mussoorie: a city destination great for museums and food-tour. Best months: Jan, Mar, Apr, May, Jun, Jul, Aug, Sep.",29.975,79.52,5.0
58,Beach Spot 58,beach,Nainital,3.3,121,"3,4",photography;picnic,"Beach Spot 58 in Nainital: a beach destination great for photography and picnic. Best months: Mar, Apr.",30.288,79.664,5.0
59,River Spot 59,river,Jim Corbett,3.9,99,"3,5,6,9",rafting;fishing,"River Spot 59 in Jim Corbett: a river destination great for rafting and fishing. Best months: Mar, May, Jun, Sep.",30.377,78.426,5.0
60,Beach Spot 60,beach,Nainital,3.5,119,"4,6",photography;river-side relax,"Beach Spot 60 in Nainital: a beach destination great for photography and river-side relax. Best months: Apr, Jun.",28.598,78.508,5.0
61,Mountain Spot 61,mountain,Valley of Flowers,4.7,32,"5,6,9",hiking;scenic drives,"Mountain Spot 61 in Valley of Flowers: a mountain destination great for hiking and scenic drives. Best months: May, Jun, Sep.",29.174,78.021,5.0
62,Mountain Spot 62,mountain,Mukteshwar,3.3,30,"4,5,6,10",photography;scenic drives,"Mountain Spot 62 in Mukteshwar: a mountain destination great for photography and scenic drives. Best months: Apr, May, Jun, Oct.",29.412,78.909,5.0
63,Mountain Spot 63,mountain,Kausani,4.1,98,"6,9,10",scenic drives;hiking,"Mountain Spot 63 in Kausani: a mountain destination great for scenic drives and hiking. Best months: Jun, Sep, Oct.",28.774,80.867,5.0
64,River Spot 64,river,Bageshwar,4.9,199,"3,4,5,6",fishing;kayaking,"River Spot 64 in Bageshwar: a river destination great for fishing and kayaking. Best months: Mar, Apr, May, Jun.",29.044,79.549,5.0
65,City Spot 65,city,Mussoorie,3.9,93,"2,3,6,7,8,10,11",heritage walk;shopping,"City Spot 65 in Mussoorie: a city destination great for heritage walk and shopping. Best months: Feb, Mar, Jun, Jul, Aug, Oct, Nov.",28.61,77.808,5.0
66,Mountain Spot 66,mountain,Auli,3.2,159,"4,5,9,10",mountain-climbing;scenic drives,"Mountain Spot 66 in Auli: a mountain destination great for mountain-climbing and scenic drives. Best months: Apr, May, Sep, Oct.",29.585,80.148,5.0
67,City Spot 67,city,Lansdowne,3.1,68,"1,2,5,6,8,11",food-tour;shopping,"City Spot 67 in Lansdowne: a city destination great for food-tour and shopping. Best months: Jan, Feb, May, Jun, Aug, Nov.",28.975,79.428,5.0
68,River Spot 68,river,Jim Corbett,3.2,198,"3,5,6,9",fishing;swimming,"River Spot 68 in Jim Corbett: a river destination great for fishing and swimming. Best months: Mar, May, Jun, Sep.",29.376,79.969,5.0
69,City Spot 69,city,Mukteshwar,4.0,104,"1,3,4,7,8,9,11,12",heritage walk;food-tour,"City Spot 69 in Mukteshwar: a city destination great for heritage walk and food-tour. Best months: Jan, Mar, Apr, Jul, Aug, Sep, Nov, Dec.",31.303,79.277,5.0
70,Beach Spot 70,beach,Haridwar,4.5,170,"3,4,6",photography;river-side relax,"Beach Spot 70 in Haridwar: a beach destination great for photography and river-side relax. Best months: Mar, Apr, Jun.",29.497,80.17,5.0
71,City Spot 71,city,Almora,4.9,176,"1,2,3,4,5,7,8,9,10,11,12",heritage walk;museums,"City Spot 71 in Almora: a city destination great for heritage walk and museums. Best months: Jan, Feb, Mar, Apr, May, Jul, Aug, Sep, Oct, Nov, Dec.",28.879,80.879,5.0
72,Mountain Spot 72,mountain,Mukteshwar,3.2,172,"4,9",mountain-climbing;photography,"Mountain Spot 72 in Mukteshwar: a mountain destination great for mountain-climbing and photography. Best months: Apr, Sep.",31.113,80.895,5.0
73,Beach Spot 73,beach,Almora,4.6,67,"3,5,6",picnic;photography,"Beach Spot 73 in Almora: a beach destination great for picnic and photography. Best months: Mar, May, Jun.",31.078,78.83,5.0
74,Mountain Spot 74,mountain,Chopta,4.4,156,"4,5,9,10",mountain-climbing;scenic drives,"Mountain Spot 74 in Chopta: a mountain destination great for mountain-climbing and scenic drives. Best months: Apr, May, Sep, Oct.",28.771,80.924,5.0
75,Beach Spot 75,beach,Almora,3.3,73,"3,5",picnic;river-side relax,"Beach Spot 75 in Almora: a beach destination great for picnic and river-side relax. Best months: Mar, May.",29.625,78.009,5.0
76,River Spot 76,river,Jim Corbett,4.1,162,"3,6",kayaking;fishing,"River Spot 76 in Jim Corbett: a river destination great for kayaking and fishing. Best months: Mar, Jun.",31.238,78.001,5.0
77,City Spot 77,city,Chopta,3.5,65,"2,3,4,5,8,9",shopping;heritage walk,"City Spot 77 in Chopta: a city destination great for shopping and heritage walk. Best months: Feb, Mar, Apr, May, Aug, Sep.",29.397,80.867,5.0
78,Mountain Spot 78,mountain,Almora,4.7,55,"4,9,10",photography;scenic drives,"Mountain Spot 78 in Almora: a mountain destination great for photography and scenic drives. Best months: Apr, Sep, Oct.",29.577,78.536,5.0
79,Mountain Spot 79,mountain,Dehradun,5.0,138,"4,6,10",photography;mountain-climbing,"Mountain Spot 79 in Dehradun: a mountain destination great for photography and mountain-climbing. Best months: Apr, Jun, Oct.",30.827,78.305,5.0
80,Mountain Spot 80,mountain,Rishikesh,4.3,131,"4,5,6,9",scenic drives;mountain-climbing,"Mountain Spot 80 in Rishikesh: a mountain destination great for scenic drives and mountain-climbing. Best months: Apr, May, Jun, Sep.",28.6,78.777,5.0
81,Forest Spot 81,forest,Mussoorie,4.8,78,"4,5,10",birdwatching;trekking,"Forest Spot 81 in Mussoorie: a forest destination great for birdwatching and trekking. Best months: Apr, May, Oct.",30.005,78.454,5.0
82,Forest Spot 82,forest,Haridwar,4.8,189,"3,4,5,10",hiking;trekking,"Forest Spot 82 in Haridwar: a forest destination great for hiking and trekking. Best months: Mar, Apr, May, Oct.",30.762,78.29,5.0
83,City Spot 83,city,Mukteshwar,4.6,85,"1,2,3,4,5,6,7,8,9,11",shopping;museums,"City Spot 83 in Mukteshwar: a city destination great for shopping and museums. Best months: Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Nov.",30.525,79.15,5.0
84,River Spot 84,river,Kausani,3.7,129,"4,5,6,9",rafting;fishing,"River Spot 84 in Kausani: a river destination great for rafting and fishing. Best months: Apr, May, Jun, Sep.",28.636,77.63,5.0
85,City Spot 85,city,Mussoorie,3.2,179,"3,4,6,7,8,9",museums;food-tour,"City Spot 85 in Mussoorie: a city destination great for museums and food-tour. Best months: Mar, Apr, Jun, Jul, Aug, Sep.",30.347,80.787,5.0
86,Mountain Spot 86,mountain,Dehradun,4.4,59,"4,5,6",scenic drives;photography,"Mountain Spot 86 in Dehradun: a mountain destination great for scenic drives and photography. Best months: Apr, May, Jun.",31.205,79.757,5.0
87,Beach Spot 87,beach,Jim Corbett,3.6,194,"3,5,6",sunbathing;photography,"Beach Spot 87 in Jim Corbett: a beach destination great for sunbathing and photography. Best months: Mar, May, Jun.",30.86,78.352,5.0
88,Forest Spot 88,forest,Lansdowne,4.1,32,"3,4,9,10",wildlife;birdwatching,"Forest Spot 88 in Lansdowne: a forest destination great for wildlife and birdwatching. Best months: Mar, Apr, Sep, Oct.",28.509,80.504,5.0
89,Forest Spot 89,forest,Nainital,4.1,163,"3,4",hiking;wildlife,"Forest Spot 89 in Nainital: a forest destination great for hiking and wildlife. Best months: Mar, Apr.",30.87,78.333,5.0
90,Mountain Spot 90,mountain,Dehradun,3.3,29,"4,6,9,10",photography;mountain-climbing,"Mountain Spot 90 in Dehradun: a mountain destination great for photography and mountain-climbing. Best months: Apr, Jun, Sep, Oct.",30.834,79.296,5.0
91,Beach Spot 91,beach,Almora,4.0,190,"4,5",sunbathing;photography,"Beach Spot 91 in Almora: a beach destination great for sunbathing and photography. Best months: Apr, May.",31.496,80.466,5.0
92,City Spot 92,city,Chopta,3.2,148,"2,3,5,6,8,9,10,12",shopping;food-tour,"City Spot 92 in Chopta: a city destination great for shopping and food-tour. Best months: Feb, Mar, May, Jun, Aug, Sep, Oct, Dec.",31.484,79.357,5.0
93,City Spot 93,city,Kausani,4.2,37,"2,3,4,6,7,8,9,10,11,12",heritage walk;food-tour,"City Spot 93 in Kausani: a city destination great for heritage walk and food-tour. Best months: Feb, Mar, Apr, Jun, Jul, Aug, Sep, Oct, Nov, Dec.",30.689,78.594,5.0
94,Mountain Spot 94,mountain,Chopta,3.5,191,"4,6,9,10",hiking;mountain-climbing,"Mountain Spot 94 in Chopta: a mountain destination great for hiking and mountain-climbing. Best months: Apr, Jun, Sep, Oct.",28.79,80.086,5.0
95,Forest Spot 95,forest,Kausani,3.1,192,"3,4,9",trekking;birdwatching,"Forest Spot 95 in Kausani: a forest destination great for trekking and birdwatching. Best months: Mar, Apr, Sep.",28.654,78.507,5.0
96,Mountain Spot 96,mountain,Auli,3.2,111,"5,9",hiking;mountain-climbing,"Mountain Spot 96 in Auli: a mountain destination great for hiking and mountain-climbing. Best months: May, Sep.",31.036,78.786,5.0
97,Mountain Spot 97,mountain,Bageshwar,3.5,97,"4,6,10",scenic drives;hiking,"Mountain Spot 97 in Bageshwar: a mountain destination great for scenic drives and hiking. Best months: Apr, Jun, Oct.",29.041,79.959,5.0
98,Mountain Spot 98,mountain,Auli,3.7,52,"4,9",mountain-climbing;scenic drives,"Mountain Spot 98 in Auli: a mountain destination great for mountain-climbing and scenic drives. Best months: Apr, Sep.",30.4,77.607,5.0
99,River Spot 99,river,Rishikesh,3.8,101,"5,9",rafting;fishing,"River Spot 99 in Rishikesh: a river destination great for rafting and fishing. Best months: May, Sep.",28.967,80.141,5.0
100,Beach Spot 100,beach,Chopta,3.2,99,"4,6",picnic;sunbathing,"Beach Spot 100 in Chopta: a beach destination great for picnic and sunbathing. Best months: Apr, Jun.",30.765,77.898,5.0
101,City Spot 101,city,Mussoorie,3.6,142,"1,4,5,6,7,10,11,12",food-tour;heritage walk,"City Spot 101 in Mussoorie: a city destination great for food-tour and heritage walk. Best months: Jan, Apr, May, Jun, Jul, Oct, Nov, Dec.",31.336,80.186,5.0
102,Mountain Spot 102,mountain,Haridwar,3.7,21,"4,5,9,10",scenic drives;hiking,"Mountain Spot 102 in Haridwar: a mountain destination great for scenic drives and hiking. Best months: Apr, May, Sep, Oct.",29.691,80.097,5.0
103,City Spot 103,city,Dehradun,3.9,34,"1,4,5,7,10,11,12",museums;food-tour,"City Spot 103 in Dehradun: a city destination great for museums and food-tour. Best months: Jan, Apr, May, Jul, Oct, Nov, Dec.",29.016,80.817,5.0
104,City Spot 104,city,Mukteshwar,4.4,85,"2,3,4,6,7,10,11,12",food-tour;heritage walk,"City Spot 104 in Mukteshwar: a city destination great for food-tour and heritage walk. Best months: Feb, Mar, Apr, Jun, Jul, Oct, Nov, Dec.",30.837,77.767,5.0
105,Beach Spot 105,beach,Kausani,4.0,183,"3,4",sunbathing;photography,"Beach Spot 105 in Kausani: a beach destination great for sunbathing and photography. Best months: Mar, Apr.",29.268,78.107,5.0
106,Forest Spot 106,forest,Lansdowne,4.5,33,"4,5,9,10",birdwatching;trekking,"Forest Spot 106 in Lansdowne: a forest destination great for birdwatching and trekking. Best months: Apr, May, Sep, Oct.",29.448,79.039,5.0
107,City Spot 107,city,Almora,4.3,163,"1,2,3,4,5,6,8,9,12",shopping;museums,"City Spot 107 in Almora: a city destination great for shopping and museums. Best months: Jan, Feb, Mar, Apr, May, Jun, Aug, Sep, Dec.",30.434,80.921,5.0
108,Beach Spot 108,beach,Bageshwar,4.2,89,"3,4,6",picnic;photography,"Beach Spot 108 in Bageshwar: a beach destination great for picnic and photography. Best months: Mar, Apr, Jun.",29.927,78.028,5.0
109,Beach Spot 109,beach,Almora,3.2,181,"3,5",river-side relax;sunbathing,"Beach Spot 109 in Almora: a beach destination great for river-side relax and sunbathing. Best months: Mar, May.",29.243,79.032,5.0
110,City Spot 110,city,Kausani,4.0,48,"1,3,5,6,7,9,10,11",museums;food-tour,"City Spot 110 in Kausani: a city destination great for museums and food-tour. Best months: Jan, Mar, May, Jun, Jul, Sep, Oct, Nov.",28.784,79.874,5.0
111,Mountain Spot 111,mountain,Haridwar,4.4,138,"4,5,6,9",scenic drives;mountain-climbing,"Mountain Spot 111 in Haridwar: a mountain destination great for scenic drives and mountain-climbing. Best months: Apr, May, Jun, Sep.",31.403,79.945,5.0
112,City Spot 112,city,Nainital,4.2,188,"2,3,6,7,10,11,12",heritage walk;shopping,"City Spot 112 in Nainital: a city destination great for heritage walk and shopping. Best months: Feb, Mar, Jun, Jul, Oct, Nov, Dec.",29.585,78.769,5.0
113,Forest Spot 113,forest,Rishikesh,3.7,157,"4,10",hiking;wildlife,"Forest Spot 113 in Rishikesh: a forest destination great for hiking and wildlife. Best months: Apr, Oct.",31.033,77.854,5.0
114,River Spot 114,river,Mukteshwar,4.5,114,"4,5,6,9",kayaking;rafting,"River Spot 114 in Mukteshwar: a river destination great for kayaking and rafting. Best months: Apr, May, Jun, Sep.",29.043,79.925,5.0
115,River Spot 115,river,Lansdowne,4.8,149,"4,5",fishing;swimming,"River Spot 115 in Lansdowne: a river destination great for fishing and swimming. Best months: Apr, May.",29.355,80.12,5.0
116,City Spot 116,city,Rishikesh,4.1,75,"1,3,4,5,6,7,8,9,11,12",food-tour;shopping,"City Spot 116 in Rishikesh: a city destination great for food-tour and shopping. Best months: Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Nov, Dec.",28.915,78.375,5.0
117,City Spot 117,city,Mukteshwar,3.7,188,"2,3,4,5,6,8,9,10,11,12",museums;heritage walk,"City Spot 117 in Mukteshwar: a city destination great for museums and heritage walk. Best months: Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec.",30.95,80.596,5.0
118,Beach Spot 118,beach,Jim Corbett,3.1,110,"3,4",river-side relax;sunbathing,"Beach Spot 118 in Jim Corbett: a beach destination great for river-side relax and sunbathing. Best months: Mar, Apr.",29.456,77.847,5.0
119,Mountain Spot 119,mountain,Lansdowne,3.3,26,"5,6,9,10",photography;scenic drives,"Mountain Spot 119 in Lansdowne: a mountain destination great for photography and scenic drives. Best months: May, Jun, Sep, Oct.",28.516,77.777,5.0
120,Mountain Spot 120,mountain,Rishikesh,4.7,118,"4,5,9,10",mountain-climbing;photography,"Mountain Spot 120 in Rishikesh: a mountain destination great for mountain-climbing and photography. Best months: Apr, May, Sep, Oct.",28.866,78.335,5.0
121,River Spot 121,river,Almora,3.1,170,"3,5,9",kayaking;swimming,"River Spot 121 in Almora: a river destination great for kayaking and swimming. Best months: Mar, May, Sep.",28.931,79.002,5.0
122,River Spot 122,river,Auli,3.5,94,"3,5,6,9",fishing;kayaking,"River Spot 122 in Auli: a river destination great for fishing and kayaking. Best months: Mar, May, Jun, Sep.",28.631,78.854,5.0
123,Mountain Spot 123,mountain,Haridwar,4.5,84,"4,5",scenic drives;hiking,"Mountain Spot 123 in Haridwar: a mountain destination great for scenic drives and hiking. Best months: Apr, May.",28.633,79.411,5.0
124,Forest Spot 124,forest,Mukteshwar,4.6,103,"3,4,9,10",hiking;wildlife,"Forest Spot 124 in Mukteshwar: a forest destination great for hiking and wildlife. Best months: Mar, Apr, Sep, Oct.",29.105,80.269,5.0
125,Beach Spot 125,beach,Auli,4.9,112,"3,4,6",river-side relax;photography,"Beach Spot 125 in Auli: a beach destination great for river-side relax and photography. Best months: Mar, Apr, Jun.",29.571,80.233,5.0
126,Mountain Spot 126,mountain,Haridwar,3.2,86,"4,5,9,10",photography;scenic drives,"Mountain Spot 126 in Haridwar: a mountain destination great for photography and scenic drives. Best months: Apr, May, Sep, Oct.",29.993,80.735,5.0
